ID,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
559,parC4,parC3,parC2,befC4,befC2,PrevFail,None,PrevDO,None,befC3
561,parC4,parC3,parC2,befC4,PrevDO,befC2,None,befC3,None,befDOC6
565,parC4,parC3,parC2,befC4,befC2,PrevFail,None,None,None,None
571,parC4,parC3,parC2,befC2,befC4,PrevFail,befFC5,None,None,None
573,parC4,parC3,parC2,befC4,befC2,None,PrevDO,None,None,befC3
576,parC4,parC3,parC2,befC4,befC2,None,None,None,befC3,None
580,parC4,parC3,parC2,befC4,befC2,PrevFail,befFC6,befC3,None,None
584,parC4,parC3,parC2,befC4,befC2,None,None,befDOC6,None,None
586,parC4,parC3,parC2,befC4,befC2,PrevFail,None,None,None,None
589,parC4,parC3,parC2,befC4,befC2,None,befFC5,None,None,befFC6
592,parC4,parC3,parC2,befC4,befC2,PrevDO,PrevFail,None,befC3,None
594,parC4,parC3,parC2,befC4,befC2,None,PrevFail,None,befDOC5,None
600,parC4,parC3,parC2,befC4,None,None,befC2,PrevFail,befC3,befFC5
602,parC4,parC3,parC2,befC4,befC2,befDOC6,PrevFail,befFC5,None,None
604,parC4,parC3,parC2,befC4,befC2,PrevFail,None,None,befC3,None
606,parC4,parC2,parC3,befC4,befC2,PrevFail,None,None,None,befC3
610,parC4,parC3,parC2,befC2,befC4,None,None,None,befC3,None
613,parC4,parC3,parC2,befC4,befC3,PrevFail,befC2,None,None,None
619,parC4,parC3,parC2,befC4,befC2,None,None,None,PrevFail,None
622,parC4,None,parC3,befC4,PrevFail,befC3,befC2,befFC5,None,befDOC6
628,parC4,parC3,parC2,befC4,befC2,PrevFail,befFC6,None,None,PrevDO
636,parC4,parC3,parC2,befC2,befC4,PrevDO,befC3,None,None,None
637,parC4,parC3,parC2,befC4,None,PrevFail,None,befC2,befDOC5,None
642,parC4,parC3,parC2,befC4,None,befC2,PrevFail,PrevDO,None,befFC6
644,parC4,parC3,parC2,befC4,befC2,befC3,PrevFail,None,None,PrevDO
647,parC4,parC2,parC3,befC4,befC2,PrevFail,befC3,None,PrevDO,None
651,parC4,parC3,parC2,befC4,PrevFail,befC2,None,None,befC3,None
654,parC4,parC2,parC3,befC4,befC2,PrevFail,None,None,None,befC3
656,parC4,parC3,parC2,befC4,befC2,PrevDO,PrevFail,None,befFC6,befC3
658,parC4,parC3,parC2,befC4,PrevDO,PrevFail,befC2,None,None,None
659,parC4,parC3,parC2,befC4,befC2,PrevFail,None,None,None,None
660,parC4,parC3,parC2,befC4,befC2,PrevFail,None,PrevDO,befC3,None
662,parC4,parC3,parC2,befC4,befC2,PrevFail,None,befFC5,befC3,None
665,parC4,parC3,parC2,befC4,befC2,PrevFail,None,None,befFC6,befC3
673,parC4,parC3,parC2,befC4,None,befC2,None,PrevFail,befDOC5,None
678,parC4,parC2,parC3,befC4,befC2,PrevFail,PrevDO,None,None,None
680,parC4,parC3,parC2,befC2,befC4,None,befC3,None,PrevFail,None
686,parC4,parC3,parC2,befC4,None,None,None,PrevFail,befC2,None
691,parC4,parC2,parC3,befC4,befC2,PrevFail,None,befDOC5,None,befC3
692,parC4,parC3,parC2,befC4,befC3,PrevFail,befFC5,befC2,None,None
699,parC4,parC2,parC3,befC4,befC2,None,PrevFail,None,None,None
706,parC4,parC3,parC2,befC4,befC2,None,befDOC6,PrevFail,None,None
711,parC4,parC3,parC2,befC2,befC4,None,PrevFail,befFC6,befC3,None
720,parC4,parC3,parC2,befC4,befC2,None,None,PrevFail,None,None
723,parC4,parC3,parC2,befC2,befC4,None,PrevFail,befDOC6,befFC6,None
725,parC4,parC3,parC2,befC2,befC4,PrevFail,None,None,None,befC3
726,parC4,parC2,parC3,befC4,befC2,PrevFail,None,befFC6,None,None
728,parC4,parC2,parC3,befC4,befC2,PrevFail,befDOC6,None,None,PrevDO
729,parC4,parC3,parC2,befC4,befC2,PrevFail,befC3,None,befDOC5,befFC5
738,parC4,parC3,parC2,befC4,PrevFail,befC2,None,None,befC3,None
742,parC4,parC3,parC2,befC4,befC2,None,PrevFail,None,None,befDOC6
745,parC4,parC3,parC2,befC4,befC2,PrevFail,None,None,befC3,None
747,parC4,parC2,parC3,befC4,PrevFail,None,befC2,befFC5,befC3,None
748,parC4,parC3,parC2,befC2,befC4,befFC5,None,befC3,None,PrevFail
750,parC4,parC3,parC2,befC4,PrevFail,None,befC2,None,None,None
754,parC4,parC2,parC3,befC2,befC4,None,None,None,befDOC5,befC3
755,parC4,parC3,parC2,befC2,befC4,None,PrevFail,None,befC3,None
757,parC4,parC2,parC3,befC4,befC2,befC3,PrevFail,None,None,None
762,parC4,parC3,parC2,befC4,None,PrevFail,befC2,None,befC3,None
765,parC4,parC3,parC2,befC4,befC3,befFC5,None,PrevFail,befC2,None
766,parC4,parC3,parC2,befC4,befC2,None,None,PrevDO,None,PrevFail
769,parC4,parC3,parC2,befC4,None,befC2,None,PrevFail,befDOC6,None
770,parC4,parC3,parC2,befC4,befC2,PrevFail,PrevDO,None,befC3,None
774,parC4,parC3,parC2,PrevFail,befC4,PrevDO,befC2,None,befFC6,befC3
777,parC4,parC3,parC2,befC4,befC2,None,PrevFail,befFC6,None,befC3
778,parC4,parC3,parC2,befC4,befDOC5,befC2,PrevFail,None,None,None
783,parC4,parC2,parC3,befC4,befC2,befC3,PrevFail,None,None,None
793,parC4,parC2,parC3,befC4,None,befC2,None,None,befC3,None
795,parC4,parC3,parC2,befC4,PrevFail,befC2,None,None,befFC5,befC3
796,parC4,parC3,parC2,befC2,befC4,None,PrevFail,None,None,befDOC6
809,parC4,parC3,parC2,befC4,PrevFail,befC2,None,None,None,None
813,parC4,parC3,parC2,befC4,befC2,PrevFail,None,befC3,None,None
814,parC4,parC3,parC2,befC4,None,befC2,None,PrevFail,None,None
820,parC4,parC3,parC2,befC4,befC2,PrevFail,None,None,befC3,None
