,0,1,2,3,4,5,6,7,8,9
30,"('parC4 <= 0.00', -0.33144957857282215, 30, 0)","('parC3 <= 0.00', -0.3154100940476741, 30, 0)","('parC2 <= 0.00', -0.2875369118000169, 30, 0)","('befC4 <= 0.00', 0.15047430972812767, 30, 0)","('PrevFail <= 0.00', 0.13835870957331756, 30, 0)","('befC2 > 0.00', -0.13373515642187034, 30, 0)","('PrevDO > 0.00', 0.11558449307523831, 30, 0)","('befDOC5 <= 0.00', -0.11454906410308649, 30, 0)","('befFC6 <= 0.00', -0.11303325124089668, 30, 0)","('befDOC6 <= 0.00', -0.10979592587776893, 30, 0)"
31,"('parC4 <= 0.00', -0.3380258406790638, 31, 0)","('0.00 < parC3 <= 1.00', 0.3069182214354982, 31, 0)","('0.00 < parC2 <= 1.00', 0.28348735175556206, 31, 0)","('befC4 > 0.00', -0.1624832101973761, 31, 0)","('befC2 <= 0.00', 0.14600589124426208, 31, 0)","('PrevDO <= 0.00', -0.1279643439516167, 31, 0)","('befDOC5 <= 0.00', -0.1267262366934752, 31, 0)","('PrevFail > 0.00', -0.11850072370309528, 31, 0)","('befFC6 <= 0.00', -0.11459706288572451, 31, 0)","('befDOC6 <= 0.00', -0.11328049226469493, 31, 0)"
32,"('parC4 <= 0.00', -0.34659046644273206, 32, 0)","('0.00 < parC3 <= 1.00', 0.312572910884658, 32, 0)","('0.00 < parC2 <= 1.00', 0.30990364476886284, 32, 0)","('befC4 > 0.00', -0.18061431042756884, 32, 0)","('PrevFail <= 0.00', 0.14524586198911119, 32, 0)","('PrevDO <= 0.00', -0.12651400939304008, 32, 0)","('befDOC6 <= 0.00', -0.12097784605060548, 32, 0)","('befDOC5 <= 0.00', -0.11868929880175778, 32, 0)","('befC2 <= 0.00', 0.11634109427018466, 32, 0)","('befFC5 <= 0.00', -0.11069647571584555, 32, 0)"
33,"('0.00 < parC4 <= 1.00', 0.3448267417481631, 33, 1)","('0.00 < parC3 <= 1.00', 0.3186773082235958, 33, 1)","('0.00 < parC2 <= 1.00', 0.3087186093802876, 33, 1)","('befC4 <= 0.00', 0.15036740908784818, 33, 1)","('befC2 <= 0.00', 0.1463340884785826, 33, 1)","('befFC6 <= 0.00', -0.1282362179038809, 33, 1)","('PrevFail <= 0.00', 0.12359970606766015, 33, 1)","('PrevDO <= 0.00', -0.12018251661668092, 33, 1)","('befC3 <= 0.00', 0.1167092966557079, 33, 1)","('befFC5 > 0.00', 0.0976353709589978, 33, 1)"
34,"('0.00 < parC4 <= 1.00', 0.3483603022402755, 34, 1)","('0.00 < parC3 <= 1.00', 0.3169100040791632, 34, 1)","('0.00 < parC2 <= 1.00', 0.31479442215293857, 34, 1)","('befC2 <= 0.00', 0.15368491244250373, 34, 1)","('befC4 <= 0.00', 0.1437457487348993, 34, 1)","('befFC5 <= 0.00', -0.12442687709079205, 34, 1)","('PrevFail > 0.00', -0.12431412753038094, 34, 1)","('PrevDO <= 0.00', -0.12287703752825967, 34, 1)","('befC3 <= 0.00', 0.11658278490978344, 34, 1)","('befFC6 <= 0.00', -0.11114799063204388, 34, 1)"
35,"('0.00 < parC4 <= 1.00', 0.34637280504696577, 35, 1)","('0.00 < parC2 <= 1.00', 0.3028108981773749, 35, 1)","('0.00 < parC3 <= 1.00', 0.29706957618567204, 35, 1)","('befC4 <= 0.00', 0.15301747150202252, 35, 1)","('befC2 <= 0.00', 0.14023986054308052, 35, 1)","('befFC6 > 0.00', 0.13549850407011604, 35, 1)","('PrevFail <= 0.00', 0.12453805202037609, 35, 1)","('befDOC6 <= 0.00', -0.12315633191326321, 35, 1)","('PrevDO > 0.00', 0.1214729833709654, 35, 1)","('befDOC5 > 0.00', 0.11936405109329075, 35, 1)"
36,"('parC4 <= 0.00', -0.3431419872442827, 36, 0)","('0.00 < parC2 <= 1.00', 0.3016721204941499, 36, 0)","('0.00 < parC3 <= 1.00', 0.2934566598959167, 36, 0)","('befC4 <= 0.00', 0.15578712332437109, 36, 0)","('befC2 <= 0.00', 0.14633294149072779, 36, 0)","('PrevFail <= 0.00', 0.1185686044120316, 36, 0)","('befFC5 > 0.00', 0.1184298212505018, 36, 0)","('PrevDO <= 0.00', -0.11358905246291068, 36, 0)","('befDOC5 <= 0.00', -0.11259149982104756, 36, 0)","('befC3 <= 0.00', 0.11197929647199752, 36, 0)"
37,"('parC4 <= 0.00', -0.3391626843888092, 37, 0)","('0.00 < parC3 <= 1.00', 0.31725929567319894, 37, 0)","('0.00 < parC2 <= 1.00', 0.3010879744327109, 37, 0)","('befC4 <= 0.00', 0.15070119342025687, 37, 0)","('PrevFail <= 0.00', 0.1449686110597025, 37, 0)","('befC2 <= 0.00', 0.14385898042269013, 37, 0)","('befFC6 <= 0.00', -0.11493108333017561, 37, 0)","('befC3 <= 0.00', 0.11341030845820184, 37, 0)","('befDOC5 <= 0.00', -0.11227112696027398, 37, 0)","('PrevDO <= 0.00', -0.10787325200217428, 37, 0)"
38,"('0.00 < parC4 <= 1.00', 0.35976217298140317, 38, 1)","('0.00 < parC3 <= 1.00', 0.33075247795046986, 38, 1)","('0.00 < parC2 <= 1.00', 0.31037617378562204, 38, 1)","('befC4 <= 0.00', 0.1575845520589679, 38, 1)","('PrevFail <= 0.00', 0.13438039753083683, 38, 1)","('befC2 <= 0.00', 0.1316851778369674, 38, 1)","('befDOC6 > 0.00', 0.1294080489352941, 38, 1)","('PrevDO <= 0.00', -0.12867970808858245, 38, 1)","('befFC5 > 0.00', 0.11871221794521601, 38, 1)","('befDOC5 > 0.00', 0.10525928733612101, 38, 1)"
39,"('0.00 < parC4 <= 1.00', 0.3469358407317333, 39, 1)","('0.00 < parC3 <= 1.00', 0.301385534057721, 39, 1)","('0.00 < parC2 <= 1.00', 0.2977397975198057, 39, 1)","('befC4 <= 0.00', 0.1533810502856816, 39, 1)","('befC2 <= 0.00', 0.13150294994630374, 39, 1)","('PrevFail > 0.00', -0.12335861071294894, 39, 1)","('befC3 <= 0.00', 0.12179956183037806, 39, 1)","('befFC5 <= 0.00', -0.11756227316991108, 39, 1)","('PrevDO <= 0.00', -0.11665925468868275, 39, 1)","('befDOC6 <= 0.00', -0.11548287898676794, 39, 1)"
